row,iso,country,MMR,MMRyear,GDP,GDPyear,CPR,CPRyear,indicator,live_year,live_value,live_country,status,diff
37,COM,Comoros,179,2023,3508.15862331545,2023,11.6,2022.0,CPR,2022.0,11.6,Comoros,MATCH,0.0
38,COD,"Congo, Dem. Rep.",427,2023,1559.33806475859,2023,28.1286863587728,2018.0,CPR,2018.0,28.1286863587728,"Congo, Dem. Rep.",MATCH,0.0
39,COG,"Congo, Rep.",241,2023,6172.28776650683,2023,30.11949285,2015.0,CPR,2015.0,30.11949285,"Congo, Rep.",MATCH,0.0
40,CRI,Costa Rica,24,2023,26378.5409941926,2023,70.9,2018.0,CPR,2018.0,70.9,Costa Rica,MATCH,0.0
41,CIV,Cote d'Ivoire,359,2023,6520.89886459765,2023,31.9711571456027,2022.0,CPR,2022.0,31.9711571456027,Cote d'Ivoire,MATCH,0.0
42,HRV,Croatia,3,2023,41320.257995772,2023,,,CPR,,,,MISSING_IN_LIVE,
43,CYP,Cyprus,14,2023,51674.90234375,2023,,,CPR,,,,MISSING_IN_LIVE,
44,CZE,Czechia,3,2023,47558.4106763314,2023,,,CPR,,,,MISSING_IN_LIVE,
45,DNK,Denmark,4,2023,68993.9031100362,2023,,,CPR,,,,MISSING_IN_LIVE,
46,DJI,Djibouti,162,2023,6510.67859061619,2023,19.0,2012.0,CPR,2012.0,19.0,Djibouti,MATCH,0.0
47,DOM,Dominican Republic,124,2023,23282.4895071054,2023,62.7779892966591,2019.0,CPR,2019.0,62.7779892966591,Dominican Republic,MATCH,0.0
48,ECU,Ecuador,55,2023,14321.1648295611,2023,77.8500417459495,2018.0,CPR,2018.0,77.8500417459495,Ecuador,MATCH,0.0
49,EGY,"Egypt, Arab Rep.",17,2023,16691.3873991962,2023,58.5,2014.0,CPR,2014.0,58.5,"Egypt, Arab Rep.",MATCH,0.0
50,SLV,El Salvador,39,2023,11404.3342262685,2023,53.6,2021.0,CPR,2021.0,53.6,El Salvador,MATCH,0.0
51,GNQ,Equatorial Guinea,174,2023,15302.1517835147,2023,12.6,2011.0,CPR,2011.0,12.6,Equatorial Guinea,MATCH,0.0
52,EST,Estonia,5,2023,41284.7746875532,2023,75.0978731759999,2014.0,CPR,2014.0,75.0978731759999,Estonia,MATCH,0.0
53,SWZ,Eswatini,118,2023,10181.5040730397,2023,57.7,2022.0,CPR,2022.0,57.7,Eswatini,MATCH,0.0
54,ETH,Ethiopia,195,2023,2757.95923626099,2023,36.0705648652283,2021.0,CPR,2021.0,36.0705648652283,Ethiopia,MATCH,0.0
55,FJI,Fiji,30,2023,13194.8047570404,2023,35.4,2021.0,CPR,2021.0,35.4,Fiji,MATCH,0.0
56,FIN,Finland,8,2023,56051.7701129501,2023,85.4748603351955,2015.0,CPR,2015.0,85.4748603351955,Finland,MATCH,0.0
57,FRA,France,7,2023,54296.7230897731,2023,78.4,2010.0,CPR,2010.0,78.4,France,MATCH,0.0
58,GAB,Gabon,233,2023,18701.4227766323,2023,24.8,2021.0,CPR,2021.0,24.8,Gabon,MATCH,0.0
59,GMB,"Gambia, The",354,2023,2963.59873467436,2023,18.9,2020.0,CPR,2020.0,18.9,"Gambia, The",MATCH,0.0
60,GEO,Georgia,20,2023,22590.5293649146,2023,39.25737653,2018.0,CPR,2018.0,39.25737653,Georgia,MATCH,0.0
61,DEU,Germany,4,2023,63140.1949099669,2023,80.3,2011.0,CPR,2011.0,80.3,Germany,MATCH,0.0
62,GHA,Ghana,234,2023,6808.53775003964,2023,36.3,2022.0,CPR,2022.0,36.3,Ghana,MATCH,0.0
63,GRC,Greece,5,2023,36700.5134631055,2023,,,CPR,,,,MISSING_IN_LIVE,
64,GTM,Guatemala,94,2023,12380.3715121996,2023,60.6,2015.0,CPR,2015.0,60.6,Guatemala,MATCH,0.0
